id,type,lat,lon
way/865344845,Polygon,-7.067880939999999,109.79357678000001
way/865344846,Polygon,-7.0679956399999995,109.79371815999998
way/865344847,Polygon,-7.067736020000001,109.79368285999999
way/865344848,Polygon,-7.0677574199999995,109.79376155999998
way/865344849,Polygon,-7.06724076,109.79359582000002
way/865344850,Polygon,-7.0673901,109.79365142857145
way/865347558,Polygon,-7.067869820000001,109.7933483
way/865347559,Polygon,-7.067738540000001,109.79335692
way/865347560,Polygon,-7.06688698,109.79374506000002
way/865347561,Polygon,-7.066673799999999,109.79374992000002
way/865347562,Polygon,-7.06653374,109.79374467999999
way/865347563,Polygon,-7.06720796,109.79405320000001
way/865347564,Polygon,-7.06732232,109.79411744000001
way/865347565,Polygon,-7.067032599999999,109.79429680000001
way/865347566,Polygon,-7.06712312,109.79432242
way/865347567,Polygon,-7.067202539999999,109.7943939
way/865347568,Polygon,-7.067451771428572,109.79423138571428
way/865347569,Polygon,-7.0674019999999995,109.79439670000002
way/865347570,Polygon,-7.0673910399999995,109.79451363999999
way/865347571,Polygon,-7.06737282,109.79472233999999
way/865347572,Polygon,-7.0673736599999994,109.79487678000001
way/865347573,Polygon,-7.067409,109.79497626
way/865347574,Polygon,-7.067356800000001,109.79517334000002
way/865347575,Polygon,-7.06725648,109.79500026000001
way/865347576,Polygon,-7.067248599999999,109.79488412
way/865347577,Polygon,-7.067073959999999,109.79513276
way/865347578,Polygon,-7.067108300000001,109.79493748
way/865347579,Polygon,-7.06689064,109.79506186
way/865347580,Polygon,-7.066816640000001,109.79491090000002
way/865347581,Polygon,-7.0664096,109.79499111999999
way/865347582,Polygon,-7.066407699999999,109.79511907999999
way/865347583,Polygon,-7.066408180000001,109.79489743999997
way/865347584,Polygon,-7.06639754,109.79473544
way/865347585,Polygon,-7.06620712,109.79469739999999
way/865347586,Polygon,-7.0662487,109.79479179999998
way/865347587,Polygon,-7.06614488,109.79479199999999
way/865347588,Polygon,-7.066241700000001,109.79488006000001
way/865347589,Polygon,-7.06620482,109.79498459999999
way/865347590,Polygon,-7.066108257142857,109.79501839999999
way/865347591,Polygon,-7.065897028571429,109.79485711428572
way/865347592,Polygon,-7.0659227200000005,109.79466864000001
way/865347593,Polygon,-7.065925179999999,109.79454652
way/865347594,Polygon,-7.06580978,109.79449882000002
way/865347595,Polygon,-7.065528371428571,109.79450128571429
way/865347596,Polygon,-7.06558104,109.79467138
way/865347597,Polygon,-7.06516068,109.79401684
way/865347598,Polygon,-7.065443140000001,109.79388424000001
way/865347599,Polygon,-7.065733799999999,109.79395317999999
way/865347600,Polygon,-7.06591802,109.79385893999999
way/865347601,Polygon,-7.06603614,109.79420148
way/865347602,Polygon,-7.06574372,109.7942933
way/865347603,Polygon,-7.065933460000001,109.79437382
way/865347604,Polygon,-7.066093619999999,109.79431522
way/865347605,Polygon,-7.06624518,109.79428709999999
way/865347606,Polygon,-7.066258675,109.79414158750001
way/865347607,Polygon,-7.066646059999999,109.79452290000002
way/865352627,Polygon,-7.064770314285714,109.79368724285715
way/865352628,Polygon,-7.064615328571429,109.79366992857142
way/865352629,Polygon,-7.064446471428572,109.79364684285714
way/865352638,Polygon,-7.064509920000001,109.78950554000001
way/865352639,Polygon,-7.06457898,109.78918416000002
way/865352640,Polygon,-7.06461618,109.78931579999998
way/865352641,Polygon,-7.0646646,109.78939206
way/865352642,Polygon,-7.06468314,109.78949054
way/865352643,Polygon,-7.0648195000000005,109.78935440000001
way/865352644,Polygon,-7.06483202,109.78946647999999
way/865352645,Polygon,-7.06494232,109.789507
way/865352646,Polygon,-7.06501374,109.78953376
way/865352647,Polygon,-7.0651718,109.78960523999999
way/865352648,Polygon,-7.065395999999998,109.78976824000001
way/865352649,Polygon,-7.0653498,109.78957901999999
way/865352650,Polygon,-7.06558668,109.78960526
way/865352651,Polygon,-7.06523516,109.78888762000001
way/865352652,Polygon,-7.06508814,109.78895354000001
way/865352653,Polygon,-7.0652867,109.78919364000001
way/865352654,Polygon,-7.06531148,109.78929318
way/865352655,Polygon,-7.06535246,109.78939796
way/865352656,Polygon,-7.064963039999999,109.78901856
way/865352657,Polygon,-7.0648013800000005,109.7884188
way/865352658,Polygon,-7.0648797000000005,109.78838814000001
way/865352659,Polygon,-7.064913659999999,109.78850234000001
way/865352660,Polygon,-7.064997,109.78844266000002
way/865352661,Polygon,-7.064980920000001,109.78859126
way/865352662,Polygon,-7.065080157142857,109.788547
way/865352663,Polygon,-7.06545658,109.78792899999999
way/865352664,Polygon,-7.0654246999999994,109.78766700000001
way/865352665,Polygon,-7.065397280000001,109.78757742
way/865352666,Polygon,-7.06552202,109.78762365999998
way/865352667,Polygon,-7.065401400000001,109.78745409999999
way/865352668,Polygon,-7.066738379999999,109.7885472
way/865352669,Polygon,-7.066872859999999,109.78851472000001
way/865352670,Polygon,-7.06710204,109.78863266
way/865352671,Polygon,-7.067161399999999,109.78846456000001
way/865352672,Polygon,-7.06720294,109.78862892
way/865352673,Polygon,-7.067307560000001,109.78862644
way/865352674,Polygon,-7.067274879999999,109.78849267999999
way/865352675,Polygon,-7.0674066799999995,109.78842752
way/865352676,Polygon,-7.067489799999999,109.78861951428571
way/868476208,Polygon,-7.064822480000001,109.78623278
way/868476209,Polygon,-7.065059120000001,109.78581334
way/868476210,Polygon,-7.06513408,109.78580718
way/868476212,Polygon,-7.064838140000001,109.78566212000001
way/868476213,Polygon,-7.06469706,109.78573020000002
way/868476214,Polygon,-7.064734466666667,109.78607941111112
way/869788496,Polygon,-7.065524379999999,109.78919802
way/869788497,Polygon,-7.06546808,109.78913146
way/869788498,Polygon,-7.06544042,109.78888337999999
way/869788499,Polygon,-7.065530440000001,109.78879038
way/869788500,Polygon,-7.06573032,109.78887272
way/869788501,Polygon,-7.065694171428571,109.78877049999998
way/869788502,Polygon,-7.066644139999999,109.78832312
way/869788503,Polygon,-7.0668257400000005,109.78827454
way/869788504,Polygon,-7.066931540000001,109.78824204
way/869788505,Polygon,-7.067679459999999,109.78846962
way/869788506,Polygon,-7.068093039999999,109.78822648
way/869788507,Polygon,-7.067095159999999,109.78822571999999
way/869788508,Polygon,-7.0670904,109.78814187999998
way/869788509,Polygon,-7.06735924,109.78817492
way/869788510,Polygon,-7.06684396,109.78809584000001
way/869789369,Polygon,-7.067458320000002,109.78806862000002
way/869789370,Polygon,-7.0675095,109.78838442000001
way/869789372,Polygon,-7.067665,109.78835310000002
way/869789373,Polygon,-7.0678999199999994,109.78802246000001
way/876345544,Polygon,-7.06600174,109.78621644
way/876345545,Polygon,-7.06598022,109.78606402
way/876345546,Polygon,-7.065928700000001,109.78549302000002
way/876345549,Polygon,-7.064390400000001,109.78552945
way/876345560,Polygon,-7.064568085714286,109.78583611428573
way/876345561,Polygon,-7.064530700000001,109.78598808
way/876345562,Polygon,-7.064412322222221,109.78601867777779
way/876345563,Polygon,-7.0648362833333325,109.78587509166668
way/876345564,Polygon,-7.0644829399999995,109.78615477999999
way/876345565,Polygon,-7.06439196,109.78618876
